	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap				
1	1_2_28b_425_Ro_Mi.wav	0	0	1	2300	4499	230	90	96	212	98	10	20	40	60
2	1_2_29b_425_Ro_Mi.wav	0	1	1	2260	4522	240	90	196	222	198	10	20	40	60
3	3_1_21b_425_Ko_Ja.wav	0	0	2	3275	5495	230	86	96	211	99	10	20	40	60
4	3_1_19b_425_Ko_Ja.wav	0	1	2	3363	5556	240	86	196	221	199	10	20	40	60
5	1_1_15d_525_Mi_Ko.wav	0	0	3	2933	5709	230	83	97	211	98	10	20	40	60
6	1_1_13d_525_Mi_Ko.wav	0	1	3	2927	5512	240	83	197	221	198	10	20	40	60
7	3_1_15b_525_Ko_Mi.wav	0	0	4	3983	6759	230	83	97	211	99	10	20	40	60
8	3_1_13b_525_Ko_Mi.wav	1	1	4	3977	6562	240	83	197	221	199	10	20	40	60
9	3_1_4d_525_Mi_Ar.wav	0	0	5	3994	6654	231	78	97	211	99	10	20	40	60
10	3_1_5d_525_Mi_Ar.wav	0	1	5	3982	6553	241	78	197	221	199	10	20	40	60
11	3_1_22c_525_Ja_Ko.wav	0	0	6	4014	6679	231	87	97	211	99	10	20	40	60
12	3_1_23c_525_Ja_Ko.wav	0	1	6	4055	6608	241	87	197	221	199	10	20	40	60
13	3_1_34a_525_Ro_Ja.wav	0	0	7	3942	6605	231	93	97	211	99	10	20	40	60
14	3_1_35a_525_Ro_Ja.wav	0	1	7	4003	6573	241	93	197	221	199	10	20	40	60
15	3_2_51a_525_Ro_Mi.wav	0	0	8	3829	6537	231	91	97	212	99	10	20	40	60
16	3_2_49a_525_Ro_Mi.wav	0	1	8	3815	6344	241	91	197	222	199	10	20	40	60
17	3_2_41b_525_Ar_Ja.wav	0	0	9	3830	6459	231	82	97	212	99	10	20	40	60
18	3_2_42b_525_Ar_Ja.wav	0	1	9	3912	6542	241	82	197	222	199	10	20	40	60
19	3_2_43c_525_Mi_Ko.wav	0	0	10	3830	6415	231	85	97	212	99	10	20	40	60
20	3_2_44c_525_Mi_Ko.wav	0	1	10	3865	6573	241	85	197	222	199	10	20	40	60
21	3_2_48d_525_Ja_Ko.wav	0	0	11	3906	6614	231	88	97	212	99	10	20	40	60
22	3_2_46d_525_Ja_Ko.wav	0	1	11	3791	6406	241	88	197	222	199	10	20	40	60
23	3_1_28d_525_Mi_Ro.wav	0	0	12	3978	6577	231	90	97	211	99	10	20	40	60
24	3_1_29d_525_Mi_Ro.wav	0	1	12	3938	6600	241	90	197	221	199	10	20	40	60
